species_key,common_name,scientific_name,entry_type,final_status,asset_status,local_file_path,storage_path,public_url,image_license,image_source_url,credit,notes
slender-betta_species,Slender Betta,Betta bellica,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/slender-betta_species.png,ai/slender-betta_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
akar-betta_species,Akar Betta,Betta akarensis,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/akar-betta_species.png,ai/akar-betta_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
iban-betta_species,Iban Betta,Betta ibanorum,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/iban-betta_species.png,ai/iban-betta_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
snakehead-betta_species,Snakehead Betta,Betta channoides,species,licensed_photo,ready_real_image,database/seed/species_images/generated/real/snakehead-betta_species.jpg,real/snakehead-betta_species.jpg,,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Betta_channoides_female_09-07-2025.jpg,Ryan O.Hershey,Verified CC BY 4.0 via Wikimedia Commons API/file metadata. Species-level image for Betta channoides. Download status: downloaded locally.
browns-betta_species,Brown's Betta,Betta brownorum,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/browns-betta_species.png,ai/browns-betta_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
spotfin-betta_species,Spotfin Betta,Betta macrostoma,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/spotfin-betta_species.png,ai/spotfin-betta_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
apollo-betta_species,Apollo Betta,Betta apollon,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/apollo-betta_species.png,ai/apollo-betta_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
common-guppy_species,Common Guppy,Poecilia reticulata,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/common-guppy_species.png,ai/common-guppy_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
endlers-livebearer_species,Endler's Livebearer,Poecilia wingei,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/endlers-livebearer_species.png,ai/endlers-livebearer_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
full-red-guppy_strain,Full Red Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/full-red-guppy_strain.png,ai/full-red-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
albino-full-red-guppy_strain,Albino Full Red Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/albino-full-red-guppy_strain.png,ai/albino-full-red-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
24k-gold-guppy_strain,24K Gold Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/24k-gold-guppy_strain.png,ai/24k-gold-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
blue-grass-guppy_strain,Blue Grass Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/blue-grass-guppy_strain.png,ai/blue-grass-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
red-grass-guppy_strain,Red Grass Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/red-grass-guppy_strain.png,ai/red-grass-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
moscow-blue-guppy_strain,Moscow Blue Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/moscow-blue-guppy_strain.png,ai/moscow-blue-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
moscow-black-guppy_strain,Moscow Black Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/moscow-black-guppy_strain.png,ai/moscow-black-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
japan-blue-guppy_strain,Japan Blue Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/japan-blue-guppy_strain.png,ai/japan-blue-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
tuxedo-guppy_strain,Tuxedo Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/tuxedo-guppy_strain.png,ai/tuxedo-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
half-black-red-guppy_strain,Half Black Red Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/half-black-red-guppy_strain.png,ai/half-black-red-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
red-dragon-guppy_strain,Red Dragon Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/red-dragon-guppy_strain.png,ai/red-dragon-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
dumbo-ear-guppy_strain,Dumbo Ear Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/dumbo-ear-guppy_strain.png,ai/dumbo-ear-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
koi-guppy_strain,Koi Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/koi-guppy_strain.png,ai/koi-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
snakeskin-guppy_strain,Snakeskin Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/snakeskin-guppy_strain.png,ai/snakeskin-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
metal-head-guppy_strain,Metal Head Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/metal-head-guppy_strain.png,ai/metal-head-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
platinum-white-guppy_strain,Platinum White Guppy,Poecilia reticulata,strain,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/platinum-white-guppy_strain.png,ai/platinum-white-guppy_strain.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
black-molly_variety,Black Molly,Poecilia sphenops,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/black-molly_variety.png,ai/black-molly_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
sailfin-molly_species,Sailfin Molly,Poecilia latipinna,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/sailfin-molly_species.png,ai/sailfin-molly_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
giant-sailfin-molly_species,Giant Sailfin Molly,Poecilia velifera,species,licensed_photo,ready_real_image,database/seed/species_images/generated/real/giant-sailfin-molly_species.jpg,real/giant-sailfin-molly_species.jpg,,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:PoeciliaVelifera.jpg,Dnoerholm,Verified CC BY-SA 4.0 via Wikimedia Commons API/file metadata. Species-level image for Poecilia velifera. Download status: downloaded locally.
balloon-molly_variety,Balloon Molly,Poecilia sphenops,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/balloon-molly_variety.png,ai/balloon-molly_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
dalmatian-molly_variety,Dalmatian Molly,Poecilia latipinna,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/dalmatian-molly_variety.png,ai/dalmatian-molly_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
lyretail-molly_variety,Lyretail Molly,Poecilia sphenops,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/lyretail-molly_variety.png,ai/lyretail-molly_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
golden-molly_variety,Golden Molly,Poecilia sphenops,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/golden-molly_variety.png,ai/golden-molly_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
platy_species,Platy,Xiphophorus maculatus,species,licensed_photo,ready_real_image,database/seed/species_images/generated/real/platy_species.jpg,real/platy_species.jpg,,CC BY 2.0,https://commons.wikimedia.org/wiki/File:Xiphophorus_maculatus.jpg,vxixiv,Verified CC BY 2.0 on Wikimedia Commons file page. Download status: downloaded locally.
variatus-platy_species,Variatus Platy,Xiphophorus variatus,species,licensed_photo,ready_real_image,database/seed/species_images/generated/real/variatus-platy_species.jpg,real/variatus-platy_species.jpg,,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Xipho_variatus_maschio.jpg,Marrabbio2,Verified CC BY-SA 3.0 via Wikimedia Commons API/file metadata. Species-level image for Xiphophorus variatus. Download status: downloaded locally.
mickey-mouse-platy_variety,Mickey Mouse Platy,Xiphophorus maculatus,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/mickey-mouse-platy_variety.png,ai/mickey-mouse-platy_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
sunset-platy_variety,Sunset Platy,Xiphophorus maculatus,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/sunset-platy_variety.png,ai/sunset-platy_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
coral-red-platy_variety,Coral Red Platy,Xiphophorus maculatus,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/coral-red-platy_variety.png,ai/coral-red-platy_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
swordtail_species,Swordtail,Xiphophorus hellerii,species,licensed_photo,ready_real_image,database/seed/species_images/generated/real/swordtail_species.jpg,real/swordtail_species.jpg,,Public Domain,https://commons.wikimedia.org/wiki/File:Xiphophorus_helleri.jpg,RayKiddy / Tkinias (uploader),Verified Public Domain. Green swordtail (Xiphophorus helleri is older spelling). Download status: downloaded locally.
red-swordtail_variety,Red Swordtail,Xiphophorus hellerii,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/red-swordtail_variety.png,ai/red-swordtail_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
pineapple-swordtail_variety,Pineapple Swordtail,Xiphophorus hellerii,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/pineapple-swordtail_variety.png,ai/pineapple-swordtail_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
hi-fin-swordtail_variety,Hi-fin Swordtail,Xiphophorus hellerii,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/hi-fin-swordtail_variety.png,ai/hi-fin-swordtail_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
freshwater-halfbeak_species,Freshwater Halfbeak,Dermogenys pusilla,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/freshwater-halfbeak_species.png,ai/freshwater-halfbeak_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
wrestling-halfbeak_species,Wrestling Halfbeak,Hemirhamphodon pogonognathus,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/wrestling-halfbeak_species.png,ai/wrestling-halfbeak_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
dwarf-gourami_species,Dwarf Gourami,Trichogaster lalius,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/dwarf-gourami_species.png,ai/dwarf-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
powder-blue-dwarf-gourami_variety,Powder Blue Dwarf Gourami,Trichogaster lalius,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/powder-blue-dwarf-gourami_variety.png,ai/powder-blue-dwarf-gourami_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
flame-dwarf-gourami_variety,Flame Dwarf Gourami,Trichogaster lalius,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/flame-dwarf-gourami_variety.png,ai/flame-dwarf-gourami_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
honey-gourami_species,Honey Gourami,Trichogaster chuna,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/honey-gourami_species.png,ai/honey-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
pearl-gourami_species,Pearl Gourami,Trichopodus leerii,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/pearl-gourami_species.png,ai/pearl-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
moonlight-gourami_species,Moonlight Gourami,Trichopodus microlepis,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/moonlight-gourami_species.png,ai/moonlight-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
three-spot-gourami_species,Three Spot Gourami,Trichopodus trichopterus,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/three-spot-gourami_species.png,ai/three-spot-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
blue-gourami_variety,Blue Gourami,Trichopodus trichopterus,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/blue-gourami_variety.png,ai/blue-gourami_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
gold-gourami_variety,Gold Gourami,Trichopodus trichopterus,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/gold-gourami_variety.png,ai/gold-gourami_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
opaline-gourami_variety,Opaline Gourami,Trichopodus trichopterus,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/opaline-gourami_variety.png,ai/opaline-gourami_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
snakeskin-gourami_species,Snakeskin Gourami,Trichopodus pectoralis,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/snakeskin-gourami_species.png,ai/snakeskin-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
croaking-gourami_species,Croaking Gourami,Trichopsis vittata,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/croaking-gourami_species.png,ai/croaking-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
sparkling-gourami_species,Sparkling Gourami,Trichopsis pumila,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/sparkling-gourami_species.png,ai/sparkling-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
giant-gourami_species,Giant Gourami,Osphronemus goramy,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/giant-gourami_species.png,ai/giant-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
chocolate-gourami_species,Chocolate Gourami,Sphaerichthys osphromenoides,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/chocolate-gourami_species.png,ai/chocolate-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
licorice-gourami_species,Licorice Gourami,Parosphromenus deissneri,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/licorice-gourami_species.png,ai/licorice-gourami_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
climbing-perch-puyu_species,Climbing Perch / Puyu,Anabas testudineus,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/climbing-perch-puyu_species.png,ai/climbing-perch-puyu_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
neon-tetra_species,Neon Tetra,Paracheirodon innesi,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/neon-tetra_species.png,ai/neon-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
cardinal-tetra_species,Cardinal Tetra,Paracheirodon axelrodi,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/cardinal-tetra_species.png,ai/cardinal-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
green-neon-tetra_species,Green Neon Tetra,Paracheirodon simulans,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/green-neon-tetra_species.png,ai/green-neon-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
black-neon-tetra_species,Black Neon Tetra,Hyphessobrycon herbertaxelrodi,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/black-neon-tetra_species.png,ai/black-neon-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
ember-tetra_species,Ember Tetra,Hyphessobrycon amandae,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/ember-tetra_species.png,ai/ember-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
glowlight-tetra_species,Glowlight Tetra,Hemigrammus erythrozonus,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/glowlight-tetra_species.png,ai/glowlight-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
rummy-nose-tetra_species,Rummy Nose Tetra,Hemigrammus rhodostomus,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/rummy-nose-tetra_species.png,ai/rummy-nose-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
brilliant-rummy-nose-tetra_species,Brilliant Rummy Nose Tetra,Hemigrammus bleheri,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/brilliant-rummy-nose-tetra_species.png,ai/brilliant-rummy-nose-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
black-widow-tetra_species,Black Widow Tetra,Gymnocorymbus ternetzi,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/black-widow-tetra_species.png,ai/black-widow-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
white-skirt-tetra_variety,White Skirt Tetra,Gymnocorymbus ternetzi,variety,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/white-skirt-tetra_variety.png,ai/white-skirt-tetra_variety.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
serpae-tetra_species,Serpae Tetra,Hyphessobrycon eques,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/serpae-tetra_species.png,ai/serpae-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
lemon-tetra_species,Lemon Tetra,Hyphessobrycon pulchripinnis,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/lemon-tetra_species.png,ai/lemon-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
buenos-aires-tetra_species,Buenos Aires Tetra,Hyphessobrycon anisitsi,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/buenos-aires-tetra_species.png,ai/buenos-aires-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
red-eye-tetra_species,Red Eye Tetra,Moenkhausia sanctaefilomenae,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/red-eye-tetra_species.png,ai/red-eye-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
diamond-tetra_species,Diamond Tetra,Moenkhausia pittieri,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/diamond-tetra_species.png,ai/diamond-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
emperor-tetra_species,Emperor Tetra,Nematobrycon palmeri,species,ai_placeholder_needed,ready_ai_placeholder,database/seed/species_images/generated/ai/emperor-tetra_species.png,ai/emperor-tetra_species.png,,Generated Placeholder,Generated Placeholder,Fishy generated placeholder,Generated illustrative placeholder; not a verified real species photograph.
